ID,Benchmark,?Solved,Counterexample,Bound,Time,#Iters,#Backtracking,%Backtracking Type 2,Unsat core sizes,M sizes,AST size,nodes changed
10,spider-csu_1-0023.txt,True,"{'campuses': [['id', 'campus', 'location', 'county', 'year'], [242, '-1', '-1', '-1', -1], [236, '-1', '-1', '-1', -1]], 'csu_fees': [['campus', 'year', 'campusfee'], [242, -1, -1], [236, -1, -1]], 'degrees': [['year', 'campus', 'degrees'], [239, 236, -1], [238, 236, -1]], 'discipline_enrollments': [['campus', 'discipline', 'year', 'undergraduate', 'graduate'], [242, 240, -1, -1, -1]], 'enrollments': [['campus', 'year', 'totalenrollment_ay', 'fte_ay'], [236, -1, -1, -1]], 'faculty': [['campus', 'year', 'faculty'], [236, 2002, -1], [242, 2002, -1]]}",2.0,6.695085,4.0,1.0,0.0,[1],[208],235.0,[50]
11,spider-soccer_2-0008.txt,True,"{'college': [['cname', 'state', 'enr']], 'player': [['pid', 'pname', 'ycard', 'hs']], 'tryout': [['pid', 'cname', 'ppos', 'decision']]}",2.0,1.427157,4.0,1.0,0.0,[2],[163],184.0,[51]
12,spider_bak-roller_coaster-0002.txt,True,"{'roller_coaster': [['roller_coaster_id', 'country_id', 'name', 'park', 'length', 'height', 'speed', 'opened', 'status'], [180, 177, '183', '183', 184, 183, '183', '183', '183'], [179, None, '183', '183', None, 183, '183', '183', '183']], 'country': [['country_id', 'name', 'population', 'area', 'languages'], [177, '183', 183, 183, '183'], [178, '183', 183, 183, '183']]}",2.0,3.921236,5.0,2.0,0.5,"[1, 142]","[150, 150]",169.0,"[50, 102]"
13,spider_bak-document_management-0001.txt,True,"{'roles': [['role_code', 'role_description'], ['168', '184'], ['167', '184']], 'users': [['user_id', 'role_code', 'user_name', 'user_login', 'password'], [170, '167', '184', '184', '184'], [169, '167', '184', '184', '184']], 'document_structures': [['document_structure_code', 'parent_document_structure_code', 'document_structure_description'], ['172', '184', '184'], ['171', '184', '184']], 'functional_areas': [['functional_area_code', 'parent_functional_area_code', 'functional_area_description'], ['174', '184', '184'], ['173', '184', '184']], 'images': [['image_id', 'image_alt_text', 'image_name', 'image_url'], [176, '184', '184', '184'], [175, '184', '184', '184']], 'documents': [['document_code', 'document_structure_code', 'document_type_code', 'access_count', 'document_name'], ['178', '171', '184', 184, None], ['177', '172', '184', 184, None]], 'document_functional_areas': [['functional_area_code', 'document_code'], ['174', None], ['174', None]], 'document_sections': [['section_id', 'document_code', 'section_sequence', 'section_code', 'section_title'], [180, '177', 184, '184', '184']], 'document_sections_images': [['section_id', 'image_id']]}",2.0,2.589994,4.0,1.0,0.0,[1],[110],121.0,[50]
14,spider_bak-loan_1-0015.txt,True,"{'bank': [['branch_id', 'bname', 'no_of_customers', 'city', 'state'], [219, 'texas1', 1, 'texas1', 'texas1'], [222, 'texas1', 1, 'texas1', 'texas1']], 'customer': [['cust_id', 'branch_id', 'cust_name', 'acc_type', 'acc_bal', 'no_of_loans', 'credit_score', 'state'], ['texas221', 222, 'texas225', 'utah226', 1, 227, 228, 'texas'], ['utah220', 222, 'texas229', 'utah230', 1, 231, 232, 'utah']], 'loan': [['loan_id', 'cust_id', 'branch_id', 'loan_type', 'amount'], ['texas1', 220, 222, 'texas1', 1]]}",2.0,2.374338,4.0,1.0,0.0,[2],[149],168.0,[51]
15,db2csv-student_transcripts_tracking-0040_dev.txt,True,"{'addresses': [['address_id', 'line_1', 'line_2', 'line_3', 'city', 'zip_postcode', 'state_province_county', 'country', 'other_address_details'], [381, '400', '400', '400', '400', '400', '400', '400', '400']], 'courses': [['course_id', 'course_name', 'course_description', 'other_details'], [405, '400', '401', '402'], [406, '400', None, None]], 'departments': [['department_id', 'department_name', 'department_description', 'other_details'], [383, '400', '400', '400'], [382, '400', '400', '400']], 'degree_programs': [['degree_program_id', 'department_id', 'degree_summary_name', 'degree_summary_description', 'other_details'], [384, 382, '400', '400', '400']], 'sections': [['section_id', 'course_id', 'section_name', 'section_description', 'other_details'], [386, 406, '400', '400', '400'], [385, 406, '400', '400', '400']], 'semesters': [['semester_id', 'semester_name', 'semester_description', 'other_details'], [388, '400', '400', '400'], [387, '400', '400', '400']], 'students': [['student_id', 'permanent_address_id', 'current_address_id', 'first_name', 'middle_name', 'last_name', 'cell_mobile_number', 'email_address', 'ssn', 'date_first_registered', 'date_left', 'other_student_details'], [389, 381, 381, '400', '400', '400', '400', '400', '400', 400, 400, '400']], 'student_enrolment': [['student_enrolment_id', 'student_id', 'semester_id', 'degree_program_id', 'other_details'], [393, 389, 388, 384, '400']], 'student_enrolment_courses': [['student_course_id', 'student_enrolment_id', 'course_id'], [392, 393, 405], [391, None, 406]], 'transcripts': [['transcript_id', 'transcript_date', 'other_details'], [395, 400, '400']], 'transcript_contents': [['transcript_id', 'student_course_id'], [395, 392]]}",2.0,10.092389,5.0,2.0,0.5,"[1, 198]","[206, 206]",238.0,"[50, 178]"
16,spider-body_builder-0006.txt,True,"{'body_builder': [['body_builder_id', 'people_id', 'snatch', 'clean_jerk', 'total'], [172, 173, None, None, None], [171, None, None, None, None]], 'people': [['people_id', 'name', 'height', 'weight', 'birth_date', 'birth_place'], [174, None, None, None, None, None], [173, None, 180, None, None, None]]}",2.0,1.747935,4.0,1.0,0.0,[1],[147],166.0,[50]
17,db2csv-museum_visit-0004_dev.txt,True,"{'museum': [['museum_id', 'name', 'num_of_staff', 'open_year'], [209, '218', 218, '218'], [210, '218', 218, '218']], 'visitor': [['id', 'name', 'level_of_membership', 'age'], [211, '218', 5, 215], [212, '218', 5, 216]], 'visit': [['museum_id', 'visitor_id', 'num_of_ticket', 'total_spent'], [210, '211', 218, 218], [209, '212', 218, 218]]}",2.0,5.753337,5.0,2.0,0.5,"[1, 122]","[146, 146]",166.0,"[50, 114]"
18,spider_bak-candidate_poll-0007.txt,True,"{'candidate': [['candidate_id', 'people_id', 'poll_source', 'date', 'support_rate', 'consider_rate', 'oppose_rate', 'unsure_rate'], [176, 173, None, None, None, None, None, None], [175, 173, None, None, None, None, None, None]], 'people': [['people_id', 'sex', 'name', 'date_of_birth', 'height', 'weight'], [173, None, None, '181', None, None], [174, None, None, '182', None, None]]}",2.0,2.131225,4.0,1.0,0.0,[1],[148],166.0,[50]
19,spider-county_public_safety-0020.txt,True,"{'county_public_safety': [['county_id', 'name', 'population', 'police_officers', 'residents_per_officer', 'case_burden', 'crime_rate', 'police_force', 'location'], [173, None, 181, None, None, None, None, None, None], [174, None, 182, None, None, None, None, None, None]], 'city': [['city_id', 'county_id', 'name', 'white', 'black', 'amerindian', 'asian', 'multiracial', 'hispanic'], [176, None, None, None, None, None, None, None, None], [175, 174, None, None, None, None, None, None, None]]}",2.0,3.091847,5.0,2.0,0.5,"[1, 141]","[149, 149]",167.0,"[50, 99]"
20,db2csv-pets_1-0033_dev.txt,True,"{'student': [['stuid', 'lname', 'fname', 'age', 'sex', 'major', 'advisor', 'city_code'], [383, 'smith388', 'smith382', 382, 'smith382', 382, 382, 'smith382'], [382, 'smith', 'smith389', 390, 'smith391', 392, 393, 'smith394']], 'has_pet': [['stuid', 'petid'], [382, 381], [382, 381]], 'pets': [['petid', 'pettype', 'pet_age', 'weight'], [381, 'smith382', 382, 382], [380, 'smith382', 382, 382]]}",2.0,11.528411,5.0,2.0,0.5,"[2, 178]","[197, 197]",225.0,"[51, 178]"
21,db2csv-pets_1-0033_dev.txt,True,"{'student': [['stuid', 'lname', 'fname', 'age', 'sex', 'major', 'advisor', 'city_code'], [356, None, 'smith357', 357, 'smith357', 357, 357, 'smith357'], [357, 'smith', None, None, None, 366, None, 'smith368']], 'has_pet': [['stuid', 'petid'], [357, 354], [357, 354]], 'pets': [['petid', 'pettype', 'pet_age', 'weight'], [354, 'smith357', 357, 357], [355, 'smith357', 357, 357]]}",2.0,13.600941,5.0,2.0,0.5,"[1, 189]","[197, 197]",224.0,"[50, 168]"
22,db2csv-pets_1-0033_dev.txt,False,,4.0,29.521039,,,,,,,
23,spider-medicine_enzyme_interaction-0020.txt,True,"{'medicine': [['id', 'name', 'trade_name', 'fda_approved'], [187, '1', '1', None], [188, '1', '1', '228']], 'enzyme': [['id', 'name', 'location', 'product', 'chromosome', 'omim', 'porphyria'], [186, '1', '1', '1', '1', 1, '1'], [185, '1', '1', '1', '1', 1, '1']], 'medicine_enzyme_interaction': [['enzyme_id', 'medicine_id', 'interaction_type']]}",2.0,2.051997,4.0,1.0,0.0,[2],[165],186.0,[51]
24,spider_bak-entertainment_awards-0012.txt,True,"{'festival_detail': [['festival_id', 'festival_name', 'chair_name', 'location', 'year', 'num_of_audience'], [478, '477', '477', '477', None, 477], [477, None, '491', None, 493, 494]], 'artwork': [['artwork_id', 'type', 'name'], [495, '484', '497'], [496, '485', '497']], 'nomination': [['artwork_id', 'festival_id', 'result'], [496, 477, '483'], [495, 477, None]]}",2.0,7.706408,6.0,3.0,0.3333333333333333,"[2, 4, 158]","[202, 202, 202]",234.0,"[51, 5, 157]"
25,spider_bak-entertainment_awards-0012.txt,True,"{'festival_detail': [['festival_id', 'festival_name', 'chair_name', 'location', 'year', 'num_of_audience'], [471, '466', '467', '468', 469, 470]], 'artwork': [['artwork_id', 'type', 'name'], [472, '461', '474'], [473, '462', '474']], 'nomination': [['artwork_id', 'festival_id', 'result'], [473, 471, '460'], [472, 471, None]]}",2.0,27.849569,5.0,2.0,0.5,"[1, 196]","[204, 204]",236.0,"[50, 175]"
26,spider_bak-entertainment_awards-0012.txt,True,"{'festival_detail': [['festival_id', 'festival_name', 'chair_name', 'location', 'year', 'num_of_audience'], [454, '453', '453', '453', 468, 453], [453, None, '470', '471', None, 473]], 'artwork': [['artwork_id', 'type', 'name'], [455, None, '463'], [456, '464', '463']], 'nomination': [['artwork_id', 'festival_id', 'result'], [455, 453, '461'], [456, 453, None]]}",2.0,15.560586,6.0,3.0,0.3333333333333333,"[1, 2, 195]","[203, 203, 203]",235.0,"[50, 2, 174]"
27,spider_bak-entertainment_awards-0012.txt,True,"{'festival_detail': [['festival_id', 'festival_name', 'chair_name', 'location', 'year', 'num_of_audience'], [472, None, None, '464', 465, None], [473, '467', '468', '469', None, 471]], 'artwork': [['artwork_id', 'type', 'name'], [451, '457', '458']], 'nomination': [['artwork_id', 'festival_id', 'result'], [451, 472, '456'], [451, 473, '459']]}",2.0,4.943694,4.0,1.0,0.0,[1],[203],235.0,[50]
28,spider_bak-entertainment_awards-0012.txt,True,"{'festival_detail': [['festival_id', 'festival_name', 'chair_name', 'location', 'year', 'num_of_audience'], [537, None, None, None, 530, 531], [538, '532', '533', '534', 535, None]], 'artwork': [['artwork_id', 'type', 'name'], [539, '526', None]], 'nomination': [['artwork_id', 'festival_id', 'result'], [539, 537, None], [539, 538, None]]}",2.0,32.766279,5.0,2.0,0.5,"[1, 246]","[254, 254]",290.0,"[50, 225]"
29,spider_bak-entertainment_awards-0012.txt,True,"{'festival_detail': [['festival_id', 'festival_name', 'chair_name', 'location', 'year', 'num_of_audience'], [518, '531', None, None, None, 535], [517, '536', '537', None, None, 540]], 'artwork': [['artwork_id', 'type', 'name'], [515, None, None], [516, '529', None]], 'nomination': [['artwork_id', 'festival_id', 'result'], [515, 518, '527'], [516, 517, None]]}",2.0,5.490816,4.0,1.0,0.0,[1],[253],289.0,[50]
30,spider_bak-entertainment_awards-0012.txt,True,"{'festival_detail': [['festival_id', 'festival_name', 'chair_name', 'location', 'year', 'num_of_audience'], [537, '527', '528', None, None, 531], [538, None, None, '534', 535, None]], 'artwork': [['artwork_id', 'type', 'name'], [514, '521', None], [513, None, None]], 'nomination': [['artwork_id', 'festival_id', 'result'], [513, 538, '523'], [514, 537, None]]}",2.0,5.705334,4.0,1.0,0.0,[1],[253],289.0,[50]
31,spider_bak-entertainment_awards-0012.txt,True,"{'festival_detail': [['festival_id', 'festival_name', 'chair_name', 'location', 'year', 'num_of_audience'], [494, '509', None, '511', None, 512], [495, '513', None, '515', None, 516]], 'artwork': [['artwork_id', 'type', 'name'], [496, None, '507']], 'nomination': [['artwork_id', 'festival_id', 'result'], [496, 494, None], [496, 495, None]]}",2.0,5.657735,4.0,1.0,0.0,[1],[253],291.0,[50]
32,spider_bak-entertainment_awards-0012.txt,True,"{'festival_detail': [['festival_id', 'festival_name', 'chair_name', 'location', 'year', 'num_of_audience'], [515, None, '508', '509', 496, None], [516, '511', '512', '513', 496, 514]], 'artwork': [['artwork_id', 'type', 'name'], [493, '501', None], [492, '505', None]], 'nomination': [['artwork_id', 'festival_id', 'result'], [493, 516, None], [492, 515, None]]}",2.0,7.896412,4.0,1.0,0.0,[1],[253],291.0,[50]
33,spider_bak-entertainment_awards-0012.txt,True,"{'festival_detail': [['festival_id', 'festival_name', 'chair_name', 'location', 'year', 'num_of_audience'], [508, '503', '504', '505', 506, 507]], 'artwork': [['artwork_id', 'type', 'name'], [490, '497', None], [489, None, None]], 'nomination': [['artwork_id', 'festival_id', 'result'], [489, 508, '499'], [490, 508, None]]}",2.0,4.066355,4.0,1.0,0.0,[1],[254],290.0,[50]
34,spider_bak-cre_Docs_and_Epenses-0020.txt,False,,4.0,45.196503,,,,,,,
35,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [206, 'usa222', 'usa222', 222, 222, 'usa222'], [207, 'usa222', 'usa222', 222, 222, 'usa222']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [209, 'usa222', 'usa223', 'usa212', 213, 214, 215, 'usa216'], [208, 'usa222', 'usa224', 'usa217', 218, 219, 220, 'usa221']], 'office_locations': [['building_id', 'company_id', 'move_in_year'], [206, 208, 222], [206, 209, 222]]}",2.0,2.89407,4.0,1.0,0.0,[1],[177],198.0,[50]
36,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [235, 'usa252', 'usa252', 252, 252, 'usa252'], [234, 'usa252', 'usa252', 252, 252, 'usa252']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [236, 'usa', 'usa240', 'usa241', 242, 243, 244, 'usa245'], [237, 'usa252', 'usa251', 'usa246', 247, 248, 249, 'usa250']], 'office_locations': [['building_id', 'company_id', 'move_in_year'], [234, 236, 252], [235, 236, 252]]}",2.0,1.810179,4.0,1.0,0.0,[1],[190],216.0,[50]
37,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [223, 'usa238', 'usa238', 238, 238, 'usa238'], [222, 'usa238', 'usa238', 238, 238, 'usa238']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [221, 'usa238', 'usa239', 'usa226', 227, 228, 229, 'usa230'], [220, None, 'usa237', None, None, None, 234, 'usa235']], 'office_locations': [['building_id', 'company_id', 'move_in_year'], [223, 220, 238]]}",2.0,1.842789,4.0,1.0,0.0,[1],[183],207.0,[50]
38,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [219, 'usa235', 'usa235', 235, 235, 'usa235'], [220, 'usa235', 'usa235', 235, 235, 'usa235']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [222, 'usa235', 'usa236', 'usa225', 226, 227, 228, 'usa229'], [221, 'usa235', 'usa237', 'usa230', 231, 232, 233, 'usa234']], 'office_locations': [['building_id', 'company_id', 'move_in_year'], [219, 221, 235], [220, 221, 235]]}",2.0,2.898867,4.0,1.0,0.0,[1],[182],207.0,[50]
39,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [244, 'usa253', 'usa253', 'usa248', 249, 250, None, None]], 'office_locations': [['building_id', 'company_id', 'move_in_year']]}",2.0,2.800707,5.0,2.0,0.5,"[1, 160]","[203, 203]",231.0,"[50, 130]"
40,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [240, 'usa244', 'usa244', 244, 244, 'usa244'], [239, 'usa244', 'usa244', 244, 244, 'usa244']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [238, 'usa244', 'usa243', 'usa245', 246, 247, 248, 'usa249'], [237, None, 'usa250', 'usa252', 253, 254, 255, 'usa256']], 'office_locations': [['building_id', 'company_id', 'move_in_year'], [240, 238, 244]]}",2.0,2.197769,4.0,1.0,0.0,[1],[199],227.0,[50]
41,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [223, 'usa239', 'usa239', 239, 239, 'usa239'], [224, 'usa239', 'usa239', 239, 239, 'usa239']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [222, 'usa239', 'usa238', 'usa227', 228, 229, 230, 'usa231'], [221, 'usa', 'usa232', 'usa233', 234, 235, 236, 'usa237']], 'office_locations': [['building_id', 'company_id', 'move_in_year'], [223, 221, 239]]}",2.0,2.42882,4.0,1.0,0.0,[1],[182],210.0,[50]
42,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [207, 'usa223', 'usa223', 223, 223, 'usa223'], [208, 'usa223', 'usa223', 223, 223, 'usa223']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [210, 'usa223', 'usa224', 'usa213', 214, 215, 216, 'usa217'], [209, 'usa223', 'usa223', None, None, 220, 221, 'usa222']], 'office_locations': [['building_id', 'company_id', 'move_in_year']]}",2.0,2.363429,4.0,1.0,0.0,[1],[175],201.0,[50]
43,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [208, 'usa224', 'usa224', 224, 224, 'usa224'], [207, 'usa224', 'usa224', 224, 224, 'usa224']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [210, 'usa', 'usa213', 'usa214', 215, 216, 217, 'usa218'], [209, 'usa224', 'usa225', 'usa219', 220, 221, 222, 'usa223']], 'office_locations': [['building_id', 'company_id', 'move_in_year'], [207, 209, 224]]}",2.0,2.003174,4.0,1.0,0.0,[1],[174],201.0,[50]
44,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [230, 'usa245', 'usa245', 245, 245, 'usa245'], [229, 'usa245', 'usa245', 245, 245, 'usa245']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [232, 'usa245', 'usa246', 'usa235', 236, 237, 238, 'usa239'], [231, 'usa245', 'usa245', None, None, None, None, None]], 'office_locations': [['building_id', 'company_id', 'move_in_year'], [229, 232, 245], [230, 231, 245]]}",2.0,2.724482,4.0,1.0,0.0,[1],[195],225.0,[50]
45,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [228, 'usa231', 'usa231', 231, 231, 'usa231'], [227, 'usa231', 'usa231', 231, 231, 'usa231']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [225, 'usa231', 'usa231', 'usa232', 233, 234, 235, 'usa236'], [224, None, 'usa237', 'usa239', 240, 241, 242, 'usa243']], 'office_locations': [['building_id', 'company_id', 'move_in_year'], [227, 224, 231]]}",2.0,1.837298,4.0,1.0,0.0,[1],[191],221.0,[50]
46,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [238, 'usa252', 'usa252', 252, 252, 'usa252'], [237, 'usa252', 'usa252', 252, 252, 'usa252']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [235, 'usa252', 'usa252', 'usa241', None, None, 244, None], [236, 'usa251', 'usa', None, 247, None, None, None]], 'office_locations': [['building_id', 'company_id', 'move_in_year'], [237, 236, 252]]}",2.0,1.531508,4.0,1.0,0.0,[1],[192],219.0,[50]
47,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [234, 'usa250', 'usa250', 250, 250, 'usa250'], [235, 'usa250', 'usa250', 250, 250, 'usa250']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [237, 'usa250', 'usa251', 'usa240', 241, 242, 243, 'usa244'], [236, 'usa250', 'usa252', 'usa245', 246, 247, 248, 'usa249']], 'office_locations': [['building_id', 'company_id', 'move_in_year'], [234, 236, 250], [235, 236, 250]]}",2.0,2.868812,4.0,1.0,0.0,[1],[191],219.0,[50]
48,spider_bak-company_office-0003.txt,True,"{'buildings': [['id', 'name', 'city', 'height', 'stories', 'status'], [258, 'usa', 'usa', 8294969038667258618, 8294969038667258618, 'usa']], 'companies': [['id', 'name', 'headquarters', 'industry', 'sales_billion', 'profits_billion', 'assets_billion', 'market_value_billion'], [257, 'usa', 'usa267', 'usa262', 263, 264, 265, 'usa266']], 'office_locations': [['building_id', 'company_id', 'move_in_year']]}",2.0,2.272371,4.0,1.0,0.0,[1],[212],243.0,[50]
